issue_label,year,region,primary_parties,allies,adversaries,trigger_event,escalation_level,probability_estimate,confidence,humanitarian_impact,economic_impact,cyber_domain,nuclear_risk,narrative,data_origin,notes
Taiwan Strait Stability,2024,East Asia,India; Pakistan,Non-Aligned,State Actors,Cyber attack,Severe,0.737,Low,Humanitarian crisis,Global market impact,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2026,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Regional Allies,State Actors,Airspace violation,Moderate,0.545,High,Mass displacement,Energy price spike,Severe,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,East Asia,Venezuela; United States,Non-Aligned,State Actors,Cyber attack,Moderate,0.037,Medium,Mass displacement,Energy price spike,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,Eastern Europe,Venezuela; United States,Regional Allies,Non-State Actors,Border incident,Low,0.163,High,Humanitarian crisis,Localized shock,Severe,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,East Asia,Venezuela; United States,UN Mediation,Non-State Actors,Sanctions escalation,Moderate,0.317,High,Humanitarian crisis,Regional recession,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,Middle East,Venezuela; United States,NATO,Non-State Actors,Cyber attack,Severe,0.056,Medium,Localized displacement,Global market impact,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,East Asia,Israel; Egypt; Jordan; Saudi Arabia,NATO,State Actors,Cyber attack,High,0.788,Medium,Humanitarian crisis,Global market impact,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,Middle East,Venezuela; United States,NATO,Hybrid Threats,Cyber attack,Low,0.305,Medium,Regional displacement,Regional recession,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2026,Middle East,China; Taiwan,Coalition A,Hybrid Threats,Border incident,High,0.519,High,Mass displacement,Global market impact,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2026,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Non-Aligned,Hybrid Threats,Proxy conflict,Severe,0.717,Low,Regional displacement,Energy price spike,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Coalition B,Opposing Coalition,Airspace violation,Moderate,0.316,High,Localized displacement,Global market impact,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,South Asia,India; Pakistan,Non-Aligned,Hybrid Threats,Sanctions escalation,Moderate,0.523,High,Regional displacement,Global market impact,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,Latin America,India; Pakistan,NATO,Opposing Coalition,Border incident,Severe,0.612,Medium,Regional displacement,Regional recession,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,Middle East,Venezuela; United States,Coalition A,State Actors,Maritime confrontation,High,0.587,High,Mass displacement,Localized shock,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2024,Eastern Europe,India; Pakistan,Non-Aligned,Opposing Coalition,Border incident,High,0.213,Medium,Mass displacement,Localized shock,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2026,Latin America,Russia; Ukraine,Coalition A,Non-State Actors,Cyber attack,Moderate,0.132,Medium,Humanitarian crisis,Energy price spike,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,Middle East,China; Taiwan,Regional Allies,Hybrid Threats,Border incident,Low,0.4,Low,Regional displacement,Localized shock,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,East Asia,North Korea; South Korea,Coalition B,Non-State Actors,Cyber attack,Severe,0.765,High,Humanitarian crisis,Regional recession,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,Latin America,North Korea; South Korea,Regional Allies,Non-State Actors,Maritime confrontation,Severe,0.818,High,Mass displacement,Regional recession,Low,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,Middle East,North Korea; South Korea,Non-Aligned,Non-State Actors,Maritime confrontation,High,0.227,Medium,Mass displacement,Regional recession,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,Middle East,Venezuela; United States,Coalition B,Non-State Actors,Proxy conflict,Moderate,0.647,Low,Localized displacement,Energy price spike,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Coalition B,Opposing Coalition,Cyber attack,Low,0.224,Medium,Localized displacement,Energy price spike,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,South Asia,India; Pakistan,UN Mediation,Opposing Coalition,Sanctions escalation,Severe,0.269,High,Regional displacement,Localized shock,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2025,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Coalition A,Opposing Coalition,Cyber attack,Low,0.387,High,Mass displacement,Energy price spike,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Regional Allies,Hybrid Threats,Cyber attack,High,0.502,Low,Humanitarian crisis,Regional recession,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2026,Latin America,China; Taiwan,NATO,State Actors,Sanctions escalation,Moderate,0.492,Low,Localized displacement,Global market impact,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2025,South Asia,India; Pakistan,Non-Aligned,Non-State Actors,Border incident,Severe,0.722,Low,Regional displacement,Regional recession,Low,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2026,Eastern Europe,China; Taiwan,Coalition B,Hybrid Threats,Border incident,High,0.452,High,Localized displacement,Localized shock,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,Eastern Europe,China; Taiwan,NATO,Non-State Actors,Border incident,High,0.718,Low,Localized displacement,Global market impact,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2026,Latin America,India; Pakistan,Non-Aligned,Non-State Actors,Airspace violation,Low,0.323,High,Humanitarian crisis,Localized shock,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,Latin America,Venezuela; United States,UN Mediation,State Actors,Proxy conflict,Low,0.624,Medium,Humanitarian crisis,Regional recession,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,East Asia,Russia; Ukraine,Regional Allies,Opposing Coalition,Sanctions escalation,High,0.014,Low,Regional displacement,Global market impact,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,Middle East,Israel; Egypt; Jordan; Saudi Arabia,NATO,Opposing Coalition,Maritime confrontation,Low,0.092,High,Mass displacement,Energy price spike,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2025,Eastern Europe,India; Pakistan,Coalition B,Opposing Coalition,Cyber attack,Low,0.151,Medium,Localized displacement,Energy price spike,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2026,Eastern Europe,Venezuela; United States,NATO,Hybrid Threats,Proxy conflict,High,0.033,Low,Mass displacement,Regional recession,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Coalition A,Hybrid Threats,Cyber attack,Low,0.383,Medium,Humanitarian crisis,Global market impact,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,Latin America,China; Taiwan,NATO,State Actors,Proxy conflict,Low,0.462,High,Mass displacement,Energy price spike,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Non-Aligned,Opposing Coalition,Border incident,Low,0.762,Medium,Mass displacement,Global market impact,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2026,Eastern Europe,China; Taiwan,UN Mediation,Opposing Coalition,Border incident,High,0.251,High,Humanitarian crisis,Localized shock,Severe,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
