issue_label,year,region,primary_parties,escalation_level,nuclear_risk,cyber_domain,economic_impact,probability_estimate,risk_index,risk_tier,archetype,anomaly_flag,predicted_tier
Russia-Ukraine Conflict,2025,Eastern Europe,Venezuela; United States,Severe,None,High,Global market impact,0.239,48.4,🟡 Moderate,Proxy War,1,🟡 Moderate
India-Pakistan Escalation 2025,2024,Eastern Europe,China; Taiwan,Moderate,Low,High,Localized shock,0.019,29.3,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Korean Peninsula Risk,2025,South Asia,China; Taiwan,Severe,Moderate,High,Regional recession,0.617,74.9,🟠 High,Proxy War,1,🟠 High
India-Pakistan Escalation 2025,2025,Latin America,Venezuela; United States,Moderate,Moderate,Moderate,Global market impact,0.773,57.8,🟠 High,Cyber-Dominant,1,🟠 High
India-Pakistan Escalation 2025,2024,East Asia,North Korea; South Korea,Low,High,Severe,Localized shock,0.453,60.3,🟠 High,Cyber-Dominant,1,🟠 High
Korean Peninsula Risk,2026,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Severe,None,Severe,Energy price spike,0.11,46.1,🟡 Moderate,Proxy War,1,🟡 Moderate
Russia-Ukraine Conflict,2026,South Asia,India; Pakistan,High,None,High,Regional recession,0.251,39.2,🟡 Moderate,Proxy War,1,🟡 Moderate
Korean Peninsula Risk,2025,Latin America,China; Taiwan,High,Low,Severe,Regional recession,0.778,66.1,🟠 High,Proxy War,1,🟠 High
India-Pakistan Escalation 2025,2025,South Asia,Venezuela; United States,High,Low,Severe,Global market impact,0.406,63.0,🟠 High,Proxy War,1,🟠 High
India-Pakistan Escalation 2025,2026,Middle East,Russia; Ukraine,Severe,Low,Low,Regional recession,0.15,43.3,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
India-Pakistan Escalation 2025,2024,Middle East,North Korea; South Korea,Low,Low,Low,Regional recession,0.3,22.5,🟢 Low,Direct Confrontation,1,🟢 Low
Korean Peninsula Risk,2025,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Moderate,Low,Low,Regional recession,0.014,23.3,🟢 Low,Direct Confrontation,1,🟢 Low
Korean Peninsula Risk,2024,Latin America,China; Taiwan,Low,High,Severe,Energy price spike,0.477,64.3,🟠 High,Cyber-Dominant,1,🟠 High
Israel-Arab Tensions,2026,Latin America,North Korea; South Korea,High,Moderate,Moderate,Global market impact,0.121,58.0,🟠 High,Nuclear Standoff,1,🟠 High
Israel-Arab Tensions,2025,Middle East,Russia; Ukraine,High,High,High,Energy price spike,0.835,82.3,🔴 Critical,Proxy War,1,🔴 Critical
India-Pakistan Escalation 2025,2026,Middle East,India; Pakistan,Moderate,Low,High,Energy price spike,0.67,44.2,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
India-Pakistan Escalation 2025,2025,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Severe,None,Severe,Localized shock,0.433,48.3,🟡 Moderate,Proxy War,1,🟡 Moderate
Taiwan Strait Stability,2026,Eastern Europe,China; Taiwan,High,Low,Severe,Global market impact,0.792,69.8,🟠 High,Proxy War,1,🟠 High
Venezuela-US Tensions 2026,2024,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Severe,Moderate,High,Global market impact,0.643,78.9,🔴 Critical,Proxy War,1,🔴 Critical
Korean Peninsula Risk,2025,South Asia,North Korea; South Korea,Low,Moderate,High,Regional recession,0.462,48.8,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Russia-Ukraine Conflict,2026,Eastern Europe,India; Pakistan,Severe,Moderate,Low,Localized shock,0.537,56.0,🟠 High,Nuclear Standoff,1,🟠 High
Taiwan Strait Stability,2024,Middle East,China; Taiwan,Low,Moderate,Low,Localized shock,0.752,36.3,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Russia-Ukraine Conflict,2025,East Asia,Russia; Ukraine,Low,Low,Severe,Regional recession,0.072,36.1,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Taiwan Strait Stability,2024,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Low,High,Low,Localized shock,0.206,38.4,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Korean Peninsula Risk,2026,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Severe,High,Low,Global market impact,0.418,75.0,🔴 Critical,Nuclear Standoff,1,🟠 High
Russia-Ukraine Conflict,2026,Middle East,Russia; Ukraine,Severe,Moderate,Low,Energy price spike,0.088,51.6,🟠 High,Nuclear Standoff,1,🟠 High
Taiwan Strait Stability,2024,East Asia,Venezuela; United States,High,High,High,Localized shock,0.559,73.9,🟠 High,Proxy War,1,🟠 High
Israel-Arab Tensions,2025,East Asia,India; Pakistan,Low,Low,Moderate,Global market impact,0.09,28.2,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Israel-Arab Tensions,2024,South Asia,Russia; Ukraine,High,High,Moderate,Energy price spike,0.598,72.3,🟠 High,Nuclear Standoff,1,🟠 High
Russia-Ukraine Conflict,2026,Eastern Europe,Venezuela; United States,High,Moderate,Low,Regional recession,0.674,58.4,🟠 High,Nuclear Standoff,1,🟠 High
Venezuela-US Tensions 2026,2026,East Asia,Russia; Ukraine,Severe,Moderate,Low,Energy price spike,0.426,57.5,🟠 High,Nuclear Standoff,1,🟠 High
Venezuela-US Tensions 2026,2025,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Moderate,Low,Severe,Localized shock,0.844,49.6,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Korean Peninsula Risk,2025,East Asia,Venezuela; United States,Severe,High,High,Localized shock,0.712,82.5,🔴 Critical,Proxy War,1,🔴 Critical
Israel-Arab Tensions,2026,Eastern Europe,North Korea; South Korea,Low,Moderate,High,Regional recession,0.197,44.1,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Venezuela-US Tensions 2026,2025,Latin America,North Korea; South Korea,Severe,None,High,Energy price spike,0.336,44.2,🟡 Moderate,Proxy War,1,🟡 Moderate
Taiwan Strait Stability,2026,East Asia,Venezuela; United States,Moderate,None,High,Global market impact,0.086,28.1,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2026,South Asia,India; Pakistan,Severe,None,Severe,Regional recession,0.555,56.3,🟠 High,Proxy War,1,🟠 High
Israel-Arab Tensions,2025,East Asia,North Korea; South Korea,High,Low,High,Localized shock,0.67,52.4,🟠 High,Proxy War,1,🟠 High
India-Pakistan Escalation 2025,2025,Latin America,Venezuela; United States,Moderate,None,High,Regional recession,0.034,23.7,🟢 Low,Direct Confrontation,1,🟢 Low
Taiwan Strait Stability,2026,Middle East,North Korea; South Korea,Severe,Low,Severe,Regional recession,0.267,62.9,🟠 High,Proxy War,1,🟠 High
India-Pakistan Escalation 2025,2026,East Asia,India; Pakistan,Severe,Moderate,Severe,Localized shock,0.568,74.1,🟠 High,Proxy War,1,🟠 High
Venezuela-US Tensions 2026,2025,Latin America,North Korea; South Korea,High,Moderate,Low,Energy price spike,0.098,45.9,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Israel-Arab Tensions,2026,East Asia,Venezuela; United States,High,Low,Severe,Global market impact,0.842,70.7,🟠 High,Proxy War,1,🟠 High
Taiwan Strait Stability,2024,Middle East,Russia; Ukraine,High,None,High,Localized shock,0.556,38.7,🟡 Moderate,Proxy War,1,🟡 Moderate
India-Pakistan Escalation 2025,2026,Eastern Europe,Venezuela; United States,Severe,None,Low,Localized shock,0.769,36.6,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Venezuela-US Tensions 2026,2025,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Low,High,Severe,Localized shock,0.807,66.6,🟠 High,Cyber-Dominant,-1,🟠 High
Taiwan Strait Stability,2026,Latin America,China; Taiwan,Severe,High,High,Localized shock,0.75,83.1,🔴 Critical,Proxy War,-1,🔴 Critical
India-Pakistan Escalation 2025,2024,Middle East,India; Pakistan,Severe,None,Low,Global market impact,0.069,33.7,🟡 Moderate,Nuclear Standoff,-1,🟡 Moderate
Korean Peninsula Risk,2024,East Asia,China; Taiwan,Low,Moderate,Moderate,Regional recession,0.099,36.5,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Israel-Arab Tensions,2024,South Asia,North Korea; South Korea,Moderate,High,Severe,Regional recession,0.757,77.4,🔴 Critical,Cyber-Dominant,1,🔴 Critical
Venezuela-US Tensions 2026,2025,Eastern Europe,Venezuela; United States,Severe,High,Moderate,Global market impact,0.273,78.3,🔴 Critical,Nuclear Standoff,1,🔴 Critical
Venezuela-US Tensions 2026,2026,East Asia,China; Taiwan,Low,Moderate,Low,Global market impact,0.4,39.5,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Korean Peninsula Risk,2025,East Asia,Venezuela; United States,High,None,Low,Energy price spike,0.564,30.7,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Taiwan Strait Stability,2024,East Asia,China; Taiwan,Moderate,Moderate,Moderate,Global market impact,0.835,58.8,🟠 High,Cyber-Dominant,1,🟠 High
Israel-Arab Tensions,2025,Latin America,Venezuela; United States,Severe,None,High,Energy price spike,0.459,46.4,🟡 Moderate,Proxy War,1,🟡 Moderate
Taiwan Strait Stability,2025,East Asia,Venezuela; United States,Moderate,None,Low,Energy price spike,0.35,15.2,🟢 Low,Direct Confrontation,1,🟢 Low
India-Pakistan Escalation 2025,2025,Middle East,Venezuela; United States,Low,High,Moderate,Localized shock,0.629,51.7,🟠 High,Cyber-Dominant,1,🟠 High
Taiwan Strait Stability,2025,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Moderate,High,Moderate,Regional recession,0.425,59.9,🟠 High,Cyber-Dominant,1,🟠 High
Venezuela-US Tensions 2026,2025,Eastern Europe,India; Pakistan,Moderate,High,Moderate,Regional recession,0.817,66.7,🟠 High,Cyber-Dominant,1,🟠 High
Venezuela-US Tensions 2026,2026,South Asia,Russia; Ukraine,Moderate,None,High,Localized shock,0.704,29.6,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Korean Peninsula Risk,2026,Middle East,China; Taiwan,Low,Low,High,Global market impact,0.33,38.3,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2025,Middle East,North Korea; South Korea,Low,None,Severe,Localized shock,0.747,30.3,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Israel-Arab Tensions,2024,Latin America,China; Taiwan,Moderate,Low,Moderate,Global market impact,0.437,40.1,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2025,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Moderate,None,High,Energy price spike,0.314,26.3,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Korean Peninsula Risk,2026,Eastern Europe,China; Taiwan,High,Moderate,Low,Localized shock,0.453,48.6,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Taiwan Strait Stability,2025,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Low,Low,Moderate,Localized shock,0.14,19.7,🟢 Low,Direct Confrontation,1,🟢 Low
Venezuela-US Tensions 2026,2024,East Asia,Venezuela; United States,Severe,Moderate,Moderate,Global market impact,0.091,63.3,🟠 High,Nuclear Standoff,1,🟠 High
Venezuela-US Tensions 2026,2026,South Asia,India; Pakistan,High,None,Low,Localized shock,0.245,21.5,🟢 Low,Nuclear Standoff,1,🟢 Low
Russia-Ukraine Conflict,2026,Middle East,Venezuela; United States,High,Moderate,Moderate,Regional recession,0.42,59.8,🟠 High,Nuclear Standoff,1,🟠 High
India-Pakistan Escalation 2025,2025,Eastern Europe,China; Taiwan,Moderate,Low,High,Regional recession,0.749,48.0,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Taiwan Strait Stability,2025,Middle East,India; Pakistan,High,Moderate,Low,Regional recession,0.092,48.1,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Korean Peninsula Risk,2025,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Low,High,High,Localized shock,0.202,50.1,🟠 High,Direct Confrontation,1,🟠 High
Venezuela-US Tensions 2026,2024,East Asia,India; Pakistan,Moderate,Moderate,High,Localized shock,0.178,43.8,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Korean Peninsula Risk,2024,Middle East,Venezuela; United States,High,Low,Severe,Energy price spike,0.504,58.9,🟠 High,Proxy War,1,🟠 High
Venezuela-US Tensions 2026,2025,East Asia,China; Taiwan,Severe,Moderate,Low,Localized shock,0.629,57.6,🟠 High,Nuclear Standoff,1,🟠 High
India-Pakistan Escalation 2025,2026,East Asia,India; Pakistan,Moderate,High,Low,Global market impact,0.092,51.7,🟠 High,Direct Confrontation,1,🟠 High
Taiwan Strait Stability,2025,Middle East,India; Pakistan,Severe,High,High,Localized shock,0.099,71.7,🟠 High,Proxy War,1,🟠 High
India-Pakistan Escalation 2025,2026,Middle East,North Korea; South Korea,Severe,Moderate,Moderate,Localized shock,0.457,60.4,🟠 High,Nuclear Standoff,1,🟠 High
Taiwan Strait Stability,2025,Eastern Europe,India; Pakistan,High,Moderate,Moderate,Regional recession,0.495,61.1,🟠 High,Nuclear Standoff,1,🟠 High
Korean Peninsula Risk,2024,Middle East,Russia; Ukraine,High,Low,Low,Regional recession,0.203,38.4,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Russia-Ukraine Conflict,2026,South Asia,China; Taiwan,Low,None,Low,Localized shock,0.02,0.0,🟢 Low,Direct Confrontation,-1,🟢 Low
Venezuela-US Tensions 2026,2025,Middle East,Israel; Egypt; Jordan; Saudi Arabia,High,Moderate,Severe,Localized shock,0.716,70.8,🟠 High,Proxy War,1,🟠 High
Korean Peninsula Risk,2025,Eastern Europe,Russia; Ukraine,Moderate,Moderate,High,Global market impact,0.677,61.9,🟠 High,Cyber-Dominant,1,🟠 High
India-Pakistan Escalation 2025,2024,South Asia,Venezuela; United States,Low,Low,Moderate,Energy price spike,0.688,32.8,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Taiwan Strait Stability,2026,Latin America,China; Taiwan,Moderate,None,Moderate,Localized shock,0.187,14.6,🟢 Low,Direct Confrontation,1,🟢 Low
Taiwan Strait Stability,2024,South Asia,North Korea; South Korea,High,High,Severe,Global market impact,0.543,88.9,🔴 Critical,Proxy War,-1,🔴 Critical
Taiwan Strait Stability,2026,Middle East,Russia; Ukraine,High,Low,High,Localized shock,0.842,55.5,🟠 High,Proxy War,1,🟠 High
Venezuela-US Tensions 2026,2024,Middle East,North Korea; South Korea,Moderate,High,Low,Energy price spike,0.041,44.9,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Taiwan Strait Stability,2025,South Asia,Venezuela; United States,High,Low,Severe,Energy price spike,0.272,54.8,🟠 High,Proxy War,1,🟠 High
Korean Peninsula Risk,2024,South Asia,India; Pakistan,High,Low,Low,Regional recession,0.231,38.9,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Venezuela-US Tensions 2026,2024,Middle East,North Korea; South Korea,Severe,Low,High,Energy price spike,0.051,50.9,🟠 High,Proxy War,1,🟠 High
Korean Peninsula Risk,2025,Latin America,India; Pakistan,Moderate,Low,Low,Global market impact,0.179,29.7,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Israel-Arab Tensions,2024,South Asia,China; Taiwan,Severe,Moderate,Severe,Localized shock,0.673,75.9,🔴 Critical,Proxy War,1,🔴 Critical
Taiwan Strait Stability,2026,East Asia,North Korea; South Korea,Moderate,High,Moderate,Localized shock,0.375,53.1,🟠 High,Direct Confrontation,1,🟠 High
Israel-Arab Tensions,2026,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Severe,Low,Low,Localized shock,0.551,44.5,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Russia-Ukraine Conflict,2024,Eastern Europe,North Korea; South Korea,Severe,Low,High,Energy price spike,0.724,62.8,🟠 High,Proxy War,1,🟠 High
Russia-Ukraine Conflict,2025,South Asia,Russia; Ukraine,High,High,High,Energy price spike,0.842,82.4,🔴 Critical,Proxy War,1,🔴 Critical
Taiwan Strait Stability,2025,Middle East,India; Pakistan,Severe,High,High,Regional recession,0.073,77.1,🔴 Critical,Proxy War,1,🔴 Critical
Korean Peninsula Risk,2026,East Asia,China; Taiwan,Severe,High,Low,Energy price spike,0.795,75.7,🔴 Critical,Nuclear Standoff,1,🔴 Critical
Venezuela-US Tensions 2026,2024,South Asia,North Korea; South Korea,High,Low,Moderate,Localized shock,0.599,45.3,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Venezuela-US Tensions 2026,2026,East Asia,Israel; Egypt; Jordan; Saudi Arabia,High,None,Low,Global market impact,0.176,29.7,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Venezuela-US Tensions 2026,2026,Latin America,India; Pakistan,Severe,Moderate,Low,Global market impact,0.129,58.2,🟠 High,Nuclear Standoff,1,🟠 High
Venezuela-US Tensions 2026,2025,East Asia,India; Pakistan,Moderate,Low,High,Energy price spike,0.296,37.7,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2026,Middle East,China; Taiwan,Moderate,None,Moderate,Global market impact,0.709,33.2,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Korean Peninsula Risk,2024,Middle East,Russia; Ukraine,High,Low,High,Global market impact,0.346,56.1,🟠 High,Proxy War,1,🟠 High
Korean Peninsula Risk,2026,South Asia,North Korea; South Korea,Low,None,High,Energy price spike,0.843,29.7,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Russia-Ukraine Conflict,2024,East Asia,India; Pakistan,Low,Low,Severe,Regional recession,0.748,47.9,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Venezuela-US Tensions 2026,2024,Middle East,North Korea; South Korea,Severe,High,Low,Regional recession,0.794,78.1,🔴 Critical,Nuclear Standoff,1,🔴 Critical
Taiwan Strait Stability,2024,Latin America,India; Pakistan,Low,High,Severe,Global market impact,0.098,63.5,🟠 High,Direct Confrontation,1,🟠 High
India-Pakistan Escalation 2025,2025,Eastern Europe,China; Taiwan,Low,Moderate,High,Regional recession,0.277,45.5,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Russia-Ukraine Conflict,2024,South Asia,Venezuela; United States,Severe,Low,Moderate,Global market impact,0.349,56.2,🟠 High,Nuclear Standoff,1,🟠 High
Israel-Arab Tensions,2025,South Asia,China; Taiwan,Low,High,High,Regional recession,0.265,57.0,🟠 High,Direct Confrontation,1,🟠 High
India-Pakistan Escalation 2025,2026,South Asia,North Korea; South Korea,High,Low,High,Energy price spike,0.726,56.9,🟠 High,Proxy War,1,🟠 High
Venezuela-US Tensions 2026,2025,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Severe,Moderate,High,Localized shock,0.063,59.3,🟠 High,Proxy War,1,🟠 High
Israel-Arab Tensions,2025,Middle East,North Korea; South Korea,Low,High,Moderate,Regional recession,0.362,52.9,🟠 High,Direct Confrontation,1,🟠 High
India-Pakistan Escalation 2025,2026,Latin America,Israel; Egypt; Jordan; Saudi Arabia,High,Low,Low,Energy price spike,0.413,39.7,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Korean Peninsula Risk,2024,Eastern Europe,Venezuela; United States,Low,None,Moderate,Energy price spike,0.635,20.2,🟢 Low,Cyber-Dominant,1,🟢 Low
Venezuela-US Tensions 2026,2024,Middle East,North Korea; South Korea,Severe,Moderate,Severe,Regional recession,0.683,82.0,🔴 Critical,Proxy War,1,🔴 Critical
Korean Peninsula Risk,2026,Middle East,Russia; Ukraine,Moderate,Moderate,Low,Energy price spike,0.483,40.9,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
India-Pakistan Escalation 2025,2026,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Severe,Low,Moderate,Energy price spike,0.627,55.2,🟠 High,Nuclear Standoff,1,🟠 High
Israel-Arab Tensions,2024,Middle East,Russia; Ukraine,Moderate,Moderate,Severe,Regional recession,0.094,54.0,🟠 High,Direct Confrontation,1,🟠 High
Russia-Ukraine Conflict,2025,South Asia,China; Taiwan,Moderate,High,Moderate,Regional recession,0.119,54.5,🟠 High,Direct Confrontation,1,🟠 High
Israel-Arab Tensions,2024,Eastern Europe,India; Pakistan,Severe,Moderate,High,Global market impact,0.36,73.9,🟠 High,Proxy War,1,🟠 High
Taiwan Strait Stability,2026,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Low,None,Moderate,Regional recession,0.845,26.2,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
